ID,p0,p1
1160,creels,kraals
1161,deacon,darken
1162,deacons,darkens
1163,dealing,darling
1164,dealings,darlings
1165,dean,darn
1166,deans,darns
1167,demeaned,demand
1168,dreamer,drama
1169,dreamers,dramas
1170,s,ares
1171,each,arch
1172,ease,ares
1173,eat,art
1174,eats,arts
1175,eke,arc
1176,ekes,arcs
1177,eke,ark
1178,ekes,arks
1179,feast,fast
1180,feasted,fasted
1181,feasting,fasting
1182,feasts,fasts
1183,feat,fart
1184,feats,farts
1185,fee,fa
1186,fee,far
1187,feet,fart
1188,femur,farmer
1189,femurs,farmers
1190,s,jars
1191,gee,jar
1192,grease,grass
1193,greased,grassed
1194,greases,grasses
1195,greasier,grassier
1196,greasiest,grassiest
1197,greasing,grassing
1198,greasy,grassy
1199,greaves,graves
1200,grief,graph
1201,griefs,graphs
1202,grieve,grave
1203,grieves,graves
1204,he,ha
1205,heap,harp
1206,heaped,harped
1207,heaping,harping
1208,heaps,harps
1209,heat,hart
1210,heats,harts
1211,heat,heart
1212,heated,hearted
1213,heats,hearts
1214,heath,hearth
1215,heaths,hearths
1216,heave,halve
1217,heaved,halved
1218,heaves,halves
1219,heaving,halving
1220,heed,hard
1221,keen,khan
1222,keens,khans
1223,keep,carp
1224,keeping,carping
1225,keeps,carps
1226,key,car
1227,keys,cars
1228,keyed,card
1229,kneeled,gnarled
1230,lea,la
1231,leach,larch
1232,leaches,larches
1233,lead,lard
1234,leading,larding
1235,leads,lards
1236,leader,larder
1237,leaders,larders
1238,leaf,laugh
1239,leafed,laughed
1240,leafing,laughing
1241,leafs,laughs
1242,leak,lakh
1243,leaks,lakhs
1244,leak,lark
1245,leaked,larked
1246,leaking,larking
1247,leaks,larks
1248,lean,larn
1249,leaned,larned
1250,leaning,larning
1251,leans,larns
1252,leased,last
1253,least,last
1254,lee,la
1255,leech,larch
1256,leeches,larches
1257,eeds,lards
1258,leek,lakh
1259,leeks,lakhs
1260,leek,lark
1261,leeks,larks
1262,eigh,la
1263,lemur,lama
1264,lemurs,lamas
1265,lemur,llama
1266,lemurs,llamas
1267,lever,larva
1268,lever,lava
1269,lieder,larder
1270,lief,laugh
1271,liege,large
1272,ima,lama
1273,ima,llama
1274,lists,lasts
1275,me,ma
1276,me,mar
1277,mead,marred
1278,meal,marl
1279,meat,mart
1280,meats,marts
1281,meed,marred
1282,meek,marque
1283,meek,mark
1284,meeker,marker
1285,meet,mart
1286,meets,marts
1287,mete,mart
1288,metes,marts
1289,meter,martyr
1290,meters,martyrs
1291,metre,martyr
1292,metres,martyrs
1293,mi,ma
1294,mi,mar
1295,overreach,overarch
1296,overreached,overarched
1297,overreaches,overarches
1298,overreaching,overarching
1299,s,pars
1300,s,parrs
1301,s,parse
1302,pea,pa
1303,pea,pah
1304,pea,par
1305,peas,parrs
1306,peas,pars
1307,peas,pars
1308,pea,parr
1309,peas,parrs
1310,peace,pass
1311,peaceable,passable
1312,peaceably,passably
1313,peacetime,pastime
1314,peach,parch
1315,peached,parched
1316,peaches,parches
1317,peaching,parching
1318,peak,park
1319,peaked,parked
1320,peaking,parking
1321,peaks,parks
1322,peaky,parky
1323,peas,parse
1324,pease,parrs
1325,pease,pars
1326,pease,parse
1327,peat,part
1328,peaty,party
1329,pee,pa
1330,pee,pah
1331,pee,par
1332,pees,pars
1333,pee,parr
1334,pees,parrs
1335,peek,park
1336,peeked,parked
1337,peeking,parking
1338,peeks,parks
1339,peeler,parlour
1340,peelers,parlours
1341,pees,parse
1342,peke,park
1343,pekes,parks
1344,eking,parking
1345,ete,part
1346,piece,pass
1347,pieced,passed
1348,pieces,passes
1349,piecing,passing
1350,pique,park
1351,piqued,parked
1352,piques,parks
1353,piquing,parking
1354,quay,car
1355,quays,cars
1356,re,rah
1357,reefed,raft
1358,seam,psalm
1359,seams,psalms
1360,seem,psalm
1361,seems,psalms
1362,she,shah
1363,sheep,sharp
1364,ski,scar
1365,d,scarred
1366,skis,scars
1367,speak,spark
1368,speaking,sparking
1369,speaks,sparks
1370,speed,sparred
1371,stealing,starling
1372,steed,starred
1373,steeling,starling
1374,teve,starve
1375,s,tars
1376,tea,ta
1377,tea,tar
1378,teas,tars
1379,tease,tars
1380,teat,tart
1381,teats,tarts
1382,tee,ta
1383,tee,tar
1384,teed,tarred
1385,tees,tars
1386,teen,tarn
1387,teens,tarns
1388,teeter,tartar
1389,teeters,tartars
1390,ti,ta
1391,ti,tar
1392,s,vase
1393,ye,yah
1394,zee,czar
1395,zees,czars
1396,beach,botch
1397,beached,botched
1398,beaches,botches
1399,beaching,botching
1400,beady,body
1401,beagle,boggle
1402,beagles,boggles
1403,beagling,boggling
1404,beaks,box
1405,beam,bomb
1406,beamed,bombed
1407,beaming,bombing
1408,beams,bombs
1409,beast,bossed
1410,beech,botch
1411,beeches,botches
1412,beetle,bottle
1413,beetled,bottled
1414,beetles,bottles
1415,beetling,bottling
1416,betel,bottle
1417,betels,bottles
1418,bleach,blotch
1419,bleaches,blotches
1420,bleak,bloc
1421,bleak,block
1422,bleat,blot
1423,bleated,blotted
1424,bleating,blotting
1425,bleats,blots
1426,canteen,canton
1427,canteens,cantons
1428,cede,sod
1429,ceded,sodded
1430,cedes,sods
1431,ceding,sodding
1432,cheap,chop
1433,cheaper,chopper
1434,cheek,choc
1435,cheeks,chocs
1436,cheek,chock
1437,cheeked,chocked
1438,cheeking,chocking
1439,cheeks,chocks
1440,cheap,chop
1441,cheep,chop
1442,cheeped,chopped
1443,cheeping,chopping
1444,cheeps,chops
1445,chic,shock
1446,cleat,clot
1447,cleats,clots
1448,clique,clock
1449,cliques,clocks
1450,creak,crock
1451,creaked,crocked
1452,creaking,crocking
1453,creaks,crocks
1454,crease,cross
1455,creased,crossed
1456,creases,crosses
1457,creasing,crossing
1458,creek,crock
1459,creeks,crocks
1460,creep,crop
1461,creeper,cropper
1462,creepers,croppers
1463,creeping,cropping
1464,creeps,crops
1465,deal,doll
1466,deals,dolls
1467,dealer,dolour
1468,dealers,dolours
1469,dealer,dollar
1470,dealers,dollars
1471,dealing,dolling
1472,dean,don
1473,deans,dons
1474,en,on
1475,s,oz
1476,ease,oz
1477,eater,otter
1478,eaters,otters
1479,ekes,ox
1480,eve,of
1481,feeder,fodder
1482,fiend,fond
1483,fleece,floss
1484,freak,frock
1485,freaks,frocks
1486,greet,grot
1487,greets,grots
1488,d,hod
1489,healer,holler
1490,healers,hollers
1491,heap,hop
1492,heaped,hopped
1493,heaping,hopping
1494,heaps,hops
1495,heat,hot
1496,heated,hotted
1497,heater,hotter
1498,heating,hotting
1499,heats,hots
1500,heed,hod
1501,heeds,hods
1502,keel,col
1503,keels,cols
1504,keen,con
1505,keened,conned
1506,keening,conning
1507,keens,cons
1508,keep,cop
1509,keeper,copper
1510,keepers,coppers
1511,keeping,copping
1512,keeps,cops
1513,keeps,copse
